Date,Job Number,Customer,Assembly Number,From Location,Total # Reworked,Rework Time,Comments:,Quantity Inspected,Quantity Rejected,Quantity Accepted,Serial Number,Shift
2024-01-16,46135,Valco,151XX705LF,2,127.0,3.18,,0.0,,0,,1
,23,"YSI, Inc",603584 LF,,,0.0,,,,,,
,52,Customer,Assembly Number,Assembly Number,,0.0,,,,,,
2008-04-09,122,RL Drake,8100926,,,0.0,,122.0,22.0,,,
2016-06-08,143,"YSI, Inc",603560LF,Assembly Number,,0.0,,143.0,,143,,
2015-08-20,190,Big Ass Fans- BAF,004634 LF,Assembly Number,537.0,14.98,,1903.0,197.0,1705,,
2008-03-03,297,RL Drake,8101074,,1132.0,52.25,,297.0,279.0,,,
2020-10-15,308,Dwyer,201836-50LF,From Location,14.0,1.4,,308.0,,308,,
,441,Customer,Assembly Number,From Location,,0.0,,,,,,
2016-09-20,525,Big Ass Fans- BAF,005507LF,Assembly Number,,0.0,,525.0,,525,,
,528,Chandler,EVB-019,3,30.0,1.83,,528.0,129.0,399,,1
2015-02-02,3957,Big Ass Fans- BAF,004036 LF,Assembly Number,,0.0,,640.0,,640,,
2019-08-08,3988,Dwyer,201856-00LF,From Location,4.0,0.17,,,,,,
2020-05-06,4068,Transducers Direct,TD5616LF,1,2.0,0.16,,,,,,1
2020-05-21,4111,Dwyer,201355-00LF,From Location,5.0,0.75,,,,,,
2020-11-24,4179,"YSI, Inc",655625LF,From Location,0.0,0.0,,10.0,,10,,
2014-10-13,4349,Medication Solutions,AP23695LF,Assembly Number,52.0,1.55,,,,,,
2023-01-17,4426,Valco,151XX651LF,From Location,,0.0,,32.0,,32,,
2022-10-12,4430,Dwyer,201651-92LF,From Location,3.0,0.33,,,,,,
2022-11-11,4437,"YSI, Inc",603560LF,From Location,,0.0,,10.0,,10,,
2022-11-07,4438,"YSI, Inc",603504LF,From Location,,0.0,,210.0,,210,,
2022-11-29,4447,Chandler,EVB-019LF,8,,0.0,,970.0,,970,,
,4450,Sargent & Greenleaf,6100011-500LF,From Location,,0.0,,50.0,,50,,
2008-10-28,4456,"Nexergy, Inc.",1100-000225-0002LF,,,0.0,,3405.0,,,,
,4468,"YSI, Inc",626810LF,From Location,,0.0,,48.0,,48,,
2020-02-08,4485,Valentine,STF90-26012LF,From Location,,0.0,,520.0,15.0,505,,
2022-11-15,4619,Dwyer,201651-92LF,From Location,1.0,0.03,,,,,,
2023-06-06,5379,Transducers Direct,TD8624LF,From Location,30.0,1.25,,,,,,
2023-06-06,5399,Valco,152XX723LF,From Location,3.0,0.25,,,,,,
2017-09-27,6581,Dwyer,201341-32LF,Assembly Number,9.0,0.41,,,,,,
2017-09-14,6910,Precise Path Robotics,15-41-0013,Assembly Number,13.0,0.25,,,,,,
2018-08-16,8403,"YSI, Inc",603528 LF,From Location,,0.0,,96.0,3.0,93,,
2023-02-20,10637,"YSI, Inc",577440LF,From Location,10.0,0.33,,,,,,
2023-03-07,10661,Amatrol,A190821-3LF,From Location,47.0,0.59,,,,,,
,12521,Customer,Assembly Number,From Location,,0.0,,,,,,
2008-01-04,17132,Sport Sensors,667395-01,,29.0,1.5,,29.0,,,,
2008-10-08,18120,Sport Sensors,668020-01,,,0.0,,100.0,1.0,,,
2011-11-02,18164,Dwyer,201102-12,,,0.0,,100.0,,,,
2008-01-03,18177,Dwyer,4467-0514,,31.0,4.75,,48.0,,,,
2008-01-10,18201,Dwyer,201248-00,,9.0,1.5,,48.0,,,,
2008-01-10,18205,Dwyer,201248-02,,6.0,0.5,,48.0,,,,
2008-01-07,18262,GLOBE MOTORS,4A2059LF,,,0.0,,500.0,,,,
2008-02-21,18290,Dwyer,201099-11,,32.0,1.75,,30.0,2.0,,,
2008-02-21,18293,Dwyer,201099-12,,2.0,0.25,,23.0,9.0,,,
2008-08-08,18295,Dwyer,201101-10,,,0.0,,50.0,,,,
2008-01-04,18358,Dwyer,201353-50,,3.0,0.25,,24.0,1.0,,,
2008-01-17,18362,Dwyer,201354-50,,,0.0,,29.0,,,,
2008-01-24,18387,Dwyer,4287-0544,,9.0,0.75,,68.0,5.0,,,
2008-03-17,18435,Dwyer,201236-02,,18.0,0.5,,,,,,
2008-01-14,18448,Extreme Dimensions,PCB-101,,77.0,3.75,,626.0,13.0,,,
