Job,Date1,Assy,Ref Desg,Prob Code,Serial Number,From Location
31994.0,2014-06-24,3402-101LF,L8,4.0,18140421,SMT
31994.0,2014-06-24,3402-101LF,CN23,4.0,18141236,ERSA
31864.0,2014-06-11,3402-101LF,CN32,5.0,18140033,ERSA
31864.0,2014-06-11,3402-101LF,STDOFF5,5.0,18140101,ERSA
31864.0,2014-06-11,3402-101LF,STDOFF1,5.0,18140106,ERSA
31864.0,2014-06-11,3402-101LF,STDOFF2,5.0,18140106,ERSA
31864.0,2014-06-11,3402-101LF,STDOFF1,5.0,18140111,ERSA
31864.0,2014-06-11,3402-101LF,STDOFF2,5.0,18140111,ERSA
31864.0,2014-06-11,3402-101LF,STDOFF1,5.0,18140460,ERSA
31864.0,2014-06-11,3402-101LF,STDOFF2,5.0,18140460,ERSA
31864.0,2014-06-11,3402-101LF,TP11,5.0,18140491,ERSA
31864.0,2014-06-11,3402-101LF,STDOFF1,5.0,18140492,ERSA
31864.0,2014-06-11,3402-101LF,STDOFF2,5.0,18140492,ERSA
31994.0,2014-06-19,3402-101LF,U14,5.0,18140006,SMT
31994.0,2014-06-19,3402-101LF,CN31,5.0,18140009,ERSA
31994.0,2014-06-19,3402-101LF,CN21,5.0,18140016,ERSA
31994.0,2014-06-19,3402-101LF,USBO,5.0,18140090,ERSA
31994.0,2014-06-19,3402-101LF,CN31,5.0,18140097,ERSA
31994.0,2014-06-19,3402-101LF,CN31,5.0,18140097,ERSA
31994.0,2014-06-19,3402-101LF,CN24,5.0,18140160,ERSA
31994.0,2014-06-19,3402-101LF,CN31,5.0,18140282,ERSA
31994.0,2014-06-19,3402-101LF,CN31,5.0,18140308,ERSA
31994.0,2014-06-19,3402-101LF,CN28,5.0,18140337,ERSA
31994.0,2014-06-19,3402-101LF,CN5,5.0,18140344,ERSA
31994.0,2014-06-19,3402-101LF,TP8,5.0,18140421,ERSA
31994.0,2014-06-19,3402-101LF,CN6,5.0,18140446,ERSA
31994.0,2014-06-19,3402-101LF,CN37,5.0,18140484,ERSA
31994.0,2014-06-24,3402-101LF,CN20,5.0,18140183,ERSA
31994.0,2014-06-24,3402-101LF,CN30,5.0,18140468,ERSA
31994.0,2014-06-25,3402-101LF,TP9,5.0,18140044,ERSA
31994.0,2014-06-25,3402-101LF,CN26,5.0,18140249,ERSA
31994.0,2014-06-25,3402-101LF,TP9,5.0,18140284,ERSA
31994.0,2014-06-25,3402-101LF,CN23,5.0,18140370,ERSA
31994.0,2014-06-25,3402-101LF,TP19,5.0,18140466,ERSA
31994.0,2014-06-26,3402-101LF,CN26,5.0,18140209,ERSA
31994.0,2014-06-26,3402-101LF,CN30,5.0,18140209,ERSA
31994.0,2014-06-26,3402-101LF,CN23,5.0,18140370,ERSA
31994.0,2014-07-07,3402-101LF,TP16,5.0,18140040,ERSA
31994.0,2014-07-07,3402-101LF,USB3,5.0,18140075,ERSA
31994.0,2014-07-07,3402-101LF,CN45,5.0,18140225,ERSA
31994.0,2014-07-07,3402-101LF,CN45,5.0,18140418,ERSA
31994.0,2014-07-07,3402-101LF,CN45,5.0,18140465,ERSA
31994.0,2014-07-07,3402-101LF,TP25,5.0,18140528,ERSA
31864.0,2014-06-11,3402-101LF,SW1,6.0,18140319,SMT
31864.0,2014-06-26,3402-101LF,K1,6.0,18140154,ERSA
31864.0,2014-06-26,3402-101LF,K1,6.0,18140183,ERSA
31864.0,2014-06-26,3402-101LF,K1,6.0,18140468,ERSA
31994.0,2014-06-13,3402-101LF,CN32,6.0,18140102,ERSA
31994.0,2014-06-13,3402-101LF,CN32,6.0,18140494,ERSA
31994.0,2014-06-19,3402-101LF,CN31,6.0,18140028,ERSA
