ID,Reference Designator,Problem Code,Defective Quantity,SMT Component,Serial Number,Cause Location
12283,R32,19.0,136.0,True,,
12283,U63,19.0,136.0,True,,
12283,R53,19.0,136.0,True,,
12283,R114,19.0,136.0,True,,
12293,C28,1.0,2.0,True,,
12293,C29,1.0,1.0,True,,
12293,C30,1.0,3.0,True,,
12293,FB8,1.0,2.0,True,,
12293,S1,13.0,1.0,True,,
12293,J2,16.0,2.0,True,,
12293,C30,1.0,1.0,True,,
12293,C30,13.0,1.0,True,,
12293,C23,13.0,1.0,True,,
12293,R28,2.0,1.0,True,,
12293,S1,1.0,2.0,True,,
12293,C1,16.0,2.0,True,,
12293,FB11,1.0,1.0,True,,
12293,U12,1.0,2.0,True,,
12283,R53,1.0,46.0,True,,
12283,R114,1.0,46.0,True,,
12283,R32,1.0,5.0,True,,
12283,R28,1.0,5.0,True,,
12283,U20,1.0,2.0,True,,
12276,C1,1.0,4.0,False,,
12276,C1,2.0,2.0,False,,
12276,C1,5.0,5.0,False,,
12276,C2,5.0,3.0,False,,
12276,C2,1.0,2.0,False,,
12276,C3,1.0,4.0,False,,
12276,C3,2.0,1.0,False,,
12276,C3,5.0,3.0,False,,
12276,C4,1.0,2.0,False,,
12276,C4,5.0,2.0,False,,
12276,C5,1.0,2.0,False,,
12276,C5,5.0,3.0,False,,
12276,C6,1.0,2.0,False,,
12276,C6,5.0,1.0,False,,
12276,C13,5.0,1.0,False,,
12276,C20,5.0,1.0,False,,
12276,C22,5.0,2.0,False,,
12276,C24,5.0,1.0,False,,
12276,C26,5.0,2.0,False,,
12276,C28,5.0,2.0,False,,
12276,C30,5.0,1.0,False,,
12276,C7,1.0,1.0,False,,
12276,C1,13.0,1.0,False,,
12276,C5,13.0,1.0,False,,
12276,C4,13.0,1.0,False,,
12276,R14,1.0,1.0,False,,
12276,R15,5.0,1.0,False,,
