Date,Job Number,Customer,Assembly Number,Total # Reworked,Rework Time,Comments:,Quantity Inspected,Quantity Rejected
2003-07-08,1300,,8100962,,0.0,,13.0,4.0
2002-11-14,11650,,ATI-200345,,,,18.0,0.0
2003-01-14,11729,,66748501,465366.0,26.0,,64.0,0.0
2003-01-08,11900,,ATI210010,28.0,3.25,,152.0,0.0
2003-02-14,11949,,667482-01,68.0,2.75,,,
2002-11-22,11985,,Stuff-90-2501,11.0,0.0,,333.0,33.0
2002-11-19,12007,,ATI-235000-1,78.0,1.75,Parts Shortage,,
2002-11-20,12014,,79-001055-03,56.0,1.5,,20.0,0.0
2002-11-14,12019,,18-159,,0.0,,427.0,27.0
2002-12-12,12026,,STUFF90-2501RevK1,,0.0,,489.0,39.0
2003-01-13,12037,,ATI-200345,3.0,0.25,,,
2002-12-03,12062,,15912900A,,0.0,,5.0,0.0
2002-11-19,12111,,90-2501,440.0,9.25,Did not run Deviation program,,
2002-11-19,12118,,B14883900A,10.0,0.83,,,
2002-12-10,12121,,8100930,27.0,7.0,,102.0,13.0
2002-12-03,12125,,8100958,,0.0,,100.0,50.0
2002-11-19,12128,,16109800,,0.0,,15.0,0.0
2002-11-19,12130,,C15683100A,13.0,0.58,,12.0,0.0
2002-11-19,12131,,C15683100A,7.0,7.0,,13.0,0.0
2002-11-19,12132,,15683100,,0.0,,16.0,0.0
2002-12-04,12134,,8100865,,0.0,,240.0,3.0
2002-11-25,12138,,15942800A,12.0,1.16,,32.0,8.0
2002-11-19,12139,,F16259500A,24.0,14.5,Built line #1 then line #3.,,
2002-11-27,12142,,79-001024-02,,0.0,,15.0,0.0
2002-12-02,12143,,79-001055-03,,0.0,,20.0,0.0
2002-12-05,12177,,ATI-235000-1,44.0,3.0,Part Shortage,,
2002-11-25,12178,,D13538300A,,0.0,,13.0,0.0
2002-11-25,12179,,13538300A,10.0,4.0,,,
2002-11-21,12180,,16412500A,93.0,1.33,Part Shortage,13.0,0.0
2002-11-27,12184,,79-001024-02,,0.0,,15.0,0.0
2002-12-05,12186,,F16259500A,25.0,1.5,,360.0,25.0
2002-11-25,12187,,F16259500A,14.0,10.0,,16.0,4.0
2002-12-12,12189,,B15514200A,15.0,7.75,,,
2002-12-12,12190,,B15514100A,22.0,6.5,,,
2002-12-02,12191,,15819100A,,0.0,,18.0,0.0
2002-12-04,12195,,15912900,,0.0,,13.0,0.0
2002-12-04,12196,,16412400A,,0.0,,11.0,0.0
2002-12-04,12197,,16412400A,,0.0,,11.0,0.0
2002-12-03,12198,,15724100A,,0.0,,12.0,0.0
2002-12-02,12199,,15819100,,0.0,,6.0,0.0
2002-12-05,12204,,15942800A,31.0,3.25,,,
2002-11-27,12206,,STUFF90-2503,49.0,0.0,,4080.0,49.0
2002-12-05,12215,,D14645100A,,2.75,,,
2003-01-03,12217,,18-141,300.0,41.25,,87.0,0.0
2002-12-11,12218,,D15526100A,6.0,0.91,,11.0,0.0
2002-12-12,12224,,16412400,,0.0,,7.0,1.0
2002-12-18,12226,,A15912900A,25.0,15.25,SCREENED 187PCS FOR CRACKED CAPS 8.5HRS.  25/PCB,26.0,4.0
2002-12-13,12227,,A15912900A,,0.0,,13.0,0.0
2002-12-16,12230,,16109800,,0.0,,9.0,0.0
2002-12-16,12231,,15514100A,23.0,4.5,,,
